ID,REF_DATE,GEO,DGUID,PRODUCT,STORAGE,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
8b030bf2-d278-44fb-ba02-1d8fd052c3df,Mar-70,British Columbia,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722365,8.3.1,234,,,,0
4ba61170-4c3e-4709-bada-559ab5cd4aa3,Mar-70,British Columbia,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722373,8.4.1,96,,,,0
800bc5b8-6bad-4b18-b698-59dcf521842b,Apr-70,Canada,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722342,1.1.1,559,,,,0
478ea2cf-ef7c-4742-a603-9f3339189f65,Apr-70,Canada,,Onions,Cold and common storage,Tonnes,288,units ,0,v722350,1.2.1,5034,,,,0
3f98738d-e4ea-430b-a50e-c8759d60149b,Apr-70,Canada,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722358,1.3.1,6525,,,,0
f0f315b4-87da-4966-a36f-c1a4c5758469,Apr-70,Canada,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722366,1.4.1,474,,,,0
d546f146-26f7-46bf-8d6d-54e4f1115dd9,,,,,,,,,,,,,,,,
fc14aadd-eea0-4f16-bf14-6010994ece36,asdasd,asdasd,,,,,,,,,,,,,,
70653141-8e16-4e7d-af35-d9fdc562370d,ASKJDBNFLWIAUJENFLIajebflkajhbwefljkb,askjbnfuiwjenflkjbnwsedlfkjbsef,,,,,,,,,,,,,,
fd963da4-e167-41f1-956e-c1ef3260e118,ASDASDASDASDASDASDAsdasdasdasd,,,,,,,,,,,,,,,
